name;priceDM;sale_price;picture;product_category;sku
Гель Little Siberica для подмывания девочек 250мл;3 190 ₸;1 909 ₸;https://static.detmir.st/media_pim/857/960/4960857/450/0.jpg?1677754536714;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4960857
Помада гигиеническая для губ Лакомка Булочка с корицей;639 ₸;639 ₸;https://static.detmir.st/media_out/201/551/2551201/450/0.jpg?1652264487021;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;2551201
Крем Little Siberica детский 75мл;2 990 ₸;1 789 ₸;https://static.detmir.st/media_out/852/960/4960852/450/0.jpg?1659672382539;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;4960852
Кислородный карандаш-пятновыводитель  Meine Liebe для детского белья;1 549 ₸;1 549 ₸;https://static.detmir.st/media_pim/891/497/2497891/450/0.jpg?1678376279108;Детский мир>Гигиена и уход>Бытовая химия детская;2497891
Стиральный порошок Умкa детский 400 гр;590 ₸;529 ₸;https://static.detmir.st/media_pim/981/764/1764981/450/0.jpg?1678458407813;Детский мир>Гигиена и уход>Бытовая химия детская;1764981
Отбеливатель Умкa детский 400 гр;690 ₸;619 ₸;https://static.detmir.st/media_out/991/764/1764991/450/0.jpg?1666152018165;Детский мир>Гигиена и уход>Бытовая химия детская;1764991
Крем EVO Пантенол универсальный 46мл;959 ₸;959 ₸;https://static.detmir.st/media_pim/401/326/326401/450/0.jpg?1678807101866;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;326401
Соль для ванн DR.TUTTELLE морская с чередой 500г;1 390 ₸;1 249 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;4246138
Сбор для купания AQA baby Здоровая кожа травяной 400мл;2 849 ₸;2 049 ₸;https://static.detmir.st/media_out/513/188/3188513/450/0.jpg?1652264516095;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;3188513
Крем Моё солнышко Баю-баюшки перед сном 100мл;1 190 ₸;1 190 ₸;https://static.detmir.st/media_out/701/035/35701/450/0.jpg?1657944212614;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;35701
Бальзам для губ Enchantimals Вишня;890 ₸;799 ₸;https://static.detmir.st/media_out/531/088/3088531/450/0.jpg?1652264499261;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3088531
Средство для стирки Meine Liebe жидкое 800мл ML31196;2 790 ₸;1 949 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Бытовая химия детская;5094569
