name,priceDM,sale_price,picture,product_category,sku
Бальзам для мытья детской посуды и принадлежностей Умкa 500мл 870152,890,709,https://static.detmir.st/media_pim/011/765/1765011/450/0.jpg?1678370387398,Детский мир>Гигиена и уход>Бытовая химия детская,1765011
Бальзам для губ Enchantimals Апельсин,890,799,https://static.detmir.st/media_pim/529/088/3088529/450/0.jpg?1681726924146,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,3088529
Стиральный порошок Bio Mio Bio-White Хлопок 1.5кг,4 890 ₸,4 890 ₸,https://static.detmir.st/media_out/071/326/326071/450/0.jpg?1652264467993,Детский мир>Гигиена и уход>Бытовая химия детская,326071
Помада гигиеническая для губ Лакомка Булочка с корицей,639,639,https://static.detmir.st/media_out/201/551/2551201/450/0.jpg?1652264487021,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,2551201
Сбор для купания AQA baby Здоровая кожа травяной 400мл,2 849 ₸,2 559 ₸,https://static.detmir.st/media_out/513/188/3188513/1500/0.jpg?1652264516095,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3188513
Гель для стирки деликатных тканей BioMio 1500мл 1509-02-08,4 890 ₸,4 399 ₸,https://static.detmir.st/media_pim/093/136/3136093/450/0.jpg?1678375505223,Детский мир>Гигиена и уход>Бытовая химия детская,3136093
Стиральный порошок Умкa детский 400 гр,590,469,https://static.detmir.st/media_pim/981/764/1764981/450/0.jpg?1678458407813,Детский мир>Гигиена и уход>Бытовая химия детская,1764981
Кондиционер для белья BioMio экологический с эфирным маслом мандарина и экстрактом хлопка 1000мл,2 959 ₸,2 659 ₸,https://static.detmir.st/media_pim/107/163/3163107/450/0.jpg?1681727421426,Детский мир>Гигиена и уход>Бытовая химия детская,3163107
Пена для ванн Принцесса Сказочная 250мл,1 039 ₸,929,https://static.detmir.st/media_pim/829/147/3147829/1500/0.jpg?1681557812312,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3147829
Помада гигиеническая для губ Лакомка Малиновое мороженое с 3лет,639,639,https://static.detmir.st/media_pim/852/105/5105852/1500/0.jpg?1681727068723,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,5105852
Кондиционер для детского белья Meine Liebe 500мл ML31186,1 590 ₸,1 269 ₸,https://static.detmir.st/media_pim/566/094/5094566/450/0.jpg?1681827255976,Детский мир>Гигиена и уход>Бытовая химия детская,5094566
Крем Моё солнышко нежный 75мл с 0месяцев,679,679,https://static.detmir.st/media_out/748/880/4880748/450/0.jpg?1656216166916,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4880748
Пенка для купания Моё солнышко с чередой 200 мл,890,799,https://static.detmir.st/media_pim/811/035/35811/450/0.jpg?1681556674024,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,35811
Кислородный карандаш-пятновыводитель  Meine Liebe для детского белья,1 549 ₸,1 389 ₸,https://static.detmir.st/media_pim/891/497/2497891/450/0.jpg?1678376279108,Детский мир>Гигиена и уход>Бытовая химия детская,2497891
Гель для купания Little Siberica детский 250мл,3 190 ₸,2 869 ₸,https://static.detmir.st/media_pim/841/960/4960841/450/0.jpg?1681827891154,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4960841
Порошок жидкий Ariel масло ши 1300мл,4 890 ₸,3 690 ₸,https://static.detmir.st/media_pim/944/160/3160944/450/0.jpg?1678375487243,Детский мир>Гигиена и уход>Бытовая химия детская,3160944
Гель для подмывания мальчиков Baby Balance 250мл 02071502,2 589 ₸,2 069 ₸,https://static.detmir.st/media_pim/510/267/3267510/450/0.jpg?1681829823792,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3267510
Крем для младенцев Bubchen 150мл,2 590 ₸,2 199 ₸,https://static.detmir.st/media_pim/987/824/4824987/1500/0.jpg?1678807032674,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4824987
Пенка-гель Моё солнышко Медовая дыня 400мл с 12месяцев,1 490 ₸,1 339 ₸,https://static.detmir.st/media_pim/182/257/3257182/450/0.jpg?1681557119287,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3257182
Масло MAMAS LIEBE Premium детское 150мл,1 860 ₸,1 669 ₸,https://static.detmir.st/media_pim/326/954/4954326/450/0.jpg?1679314182380,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4954326
Средство для мытья посуды овощей Bio Mio Bio-Care Хлопок 450мл,1 590 ₸,1 429 ₸,https://static.detmir.st/media_out/021/326/326021/1500/0.jpg?1652264467990,Детский мир>Гигиена и уход>Бытовая химия детская,326021
Гель для мытья Meine Liebe овощей/фруктов/посуды и игрушек 485 мл NEW,1 419 ₸,1 419 ₸,https://static.detmir.st/media_pim/141/819/1819141/450/0.jpg?1678366708074,Детский мир>Гигиена и уход>Бытовая химия детская,1819141
Сбор для купания AQA baby Сладкий сон травяной 400мл,2 849 ₸,2 279 ₸,https://static.detmir.st/media_pim/512/188/3188512/1500/0.jpg?1681311707462,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3188512
Бальзам для мытья посуды BioMio Ромашка и Иланг-иланг 450мл,1 759 ₸,1 579 ₸,https://static.detmir.st/media_pim/399/253/3253399/450/0.jpg?1678366924122,Детский мир>Гигиена и уход>Бытовая химия детская,3253399
Крем-эмолент Лапочка 75мл 52827,1 029 ₸,919,https://static.detmir.st/media_out/270/255/3255270/1500/0.jpg?1652264524804,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,3255270
Соль для ванн DR.TUTTELLE морская с ромашкой 500г,1 390 ₸,1 179 ₸,https://static.detmir.st/media_out/139/246/4246139/450/0.jpg?1652264656608,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4246139
Гель для стирки детских вещей Mamas Liebe Premium 1000мл,3 990 ₸,2 789 ₸,https://static.detmir.st/media_pim/112/089/6089112/450/0.jpg?1677601936836,Детский мир>Гигиена и уход>Бытовая химия детская,6089112
Масло для тела Baby line The Original 250мл,3 590 ₸,3 229 ₸,https://static.detmir.st/media_pim/186/793/3793186/450/0.jpg?1678871185247,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,3793186
Гель для посуды Meine Liebe мелисса и лемонграсс 500мл,909,909,https://static.detmir.st/media_pim/738/292/3292738/450/0.jpg?1678367243690,Детский мир>Гигиена и уход>Бытовая химия детская,3292738
Ванночка для купания младенцев Little Siberica Травяная 200мл,1 390 ₸,1 249 ₸,https://static.detmir.st/media_pim/847/960/4960847/450/0.jpg?1681546004087,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,4960847
Детский крем Умкa успокаивающий 100мл,990,789,https://static.detmir.st/media_out/861/764/1764861/450/0.jpg?1666152017508,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,1764861
Моющая жидкость для полов и стен Mr.Proper Бережная уборка 500мл,845,729,https://static.detmir.st/media_pim/272/092/3092272/450/0.jpg?1678371494846,Детский мир>Гигиена и уход>Бытовая химия детская,3092272
Гель-пена Мегамонстры 300мл 54920,1 119 ₸,999,https://static.detmir.st/media_pim/341/427/3427341/450/0.jpg?1681555220372,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3427341
Крем Детский легкий увлажняющий 75мл,639,569,https://static.detmir.st/media_out/721/035/35721/450/0.jpg?1652261101366,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,35721
Кондиционер для белья Mamas Liebe Premium 1000мл,3 290 ₸,2 299 ₸,https://static.detmir.st/media_pim/113/089/6089113/450/0.jpg?1677602236687,Детский мир>Гигиена и уход>Бытовая химия детская,6089113
Крем-гель для душа Моё солнышко Абрикосовый остров 400мл,2 190 ₸,1 859 ₸,https://static.detmir.st/media_pim/055/525/3525055/450/0.jpg?1681555344692,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3525055
Детский крем Умкa увлажняющий 100мл,1 190 ₸,949,https://static.detmir.st/media_out/871/764/1764871/450/0.jpg?1666152017478,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,1764871
Крем-гель для душа Моё солнышко Малиновое облако 400мл,2 190 ₸,1 859 ₸,https://static.detmir.st/media_pim/054/525/3525054/450/0.jpg?1681555322552,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания,3525054
Средство для мытья посуды BioMio 750мл,2 890 ₸,2 159 ₸,https://static.detmir.st/media_pim/845/335/3335845/1500/0.jpg?1678366967836,Детский мир>Гигиена и уход>Бытовая химия детская,3335845
Пена для мытья посуды BioMio Bio-Foam без запаха 350мл,2 559 ₸,2 299 ₸,https://static.detmir.st/media_pim/123/108/4108123/450/0.jpg?1678366934750,Детский мир>Гигиена и уход>Бытовая химия детская,4108123
